Number,Title,URL,Date
1,Kennesaw State secures NSF grants to build community of AI educators nationwide,https://www.kennesaw.edu/news/stories/2025/ksu-secures-nsf-grants-build-community-ai-educators-nationwide.php,"September 12, 2025"
2,Kennesaw State looks to bring Interactive Research Methods Lab to high schools,https://www.kennesaw.edu/news/stories/2025/ksu-bring-interactive-research-methods-lab-to-high-schools.php,"September 11, 2025"
3,Kennesaw State researcher aiming to bring artificial intelligence to everyday devices ,https://www.kennesaw.edu/news/stories/2025/researcher-aiming-to-bring-artificial-intelligence-everyday-devices.php,"September 10, 2025"
4,KSU researcher developing electronic nose to sniff out foodborne illness,https://www.kennesaw.edu/news/stories/2025/researcher-develop-electronic-nose-sniff-out-illness.php,"September 09, 2025"
5,Renowned AI expert Kathy Pham speaks at Kennesaw State's inaugural Presidential Lecture Series event,https://www.kennesaw.edu/news/stories/2025/renowned-ai-expert-speaks-ksu-presidential-lecture-series.php,"September 08, 2025"
6,Kennesaw State spreads its innovative CARE student services model,https://www.kennesaw.edu/news/stories/2025/kennesaw-state-spreads-innovative-care-student-services-model.php,"September 05, 2025"
7,Kennesaw State alumnus looks ahead as new leader of Georgia's Supreme Court,https://www.kennesaw.edu/news/stories/2025/ksu-alumnus-looks-ahead-as-leader-georgia-supreme-court.php,"September 04, 2025"
8,Kennesaw State's President's Parliament Scholar Ambassadors lead with purpose,https://www.kennesaw.edu/news/stories/2025/president-parliament-scholar-ambassadors-lead-with-purpose.php,"September 03, 2025"
9,Physics major wins top prize in Kennesaw State's Birla Carbon Scholars Symposium,https://www.kennesaw.edu/news/stories/2025/physics-major-wins-top-prize-ksu-birla-carbon-scholars-symposium.php,"September 02, 2025"
10,Kennesaw State research aims to safeguard Georgia's transportation systems,https://www.kennesaw.edu/news/stories/2025/research-aims-to-safeguard-georgia-transportation-systems.php,"August 29, 2025"
